QUESTION,ANSWER1,ANSWER2,ANSWER3
"['basic', 'datum', 'type', 'associate', 'c']","['int', ',', 'float', ',', 'double', ',', 'char', 'void', '.']","['c', 'language', 'provide', 'basic', 'arithmetic', 'type', 'specifier', 'char', ',', 'int', ',', 'float', 'double', ',', 'modifier', 'sign', ',', 'unsigned', ',', 'short', ',', 'long', '.']","['int', ',', 'float', ',', 'double', ',', 'char', ',', 'void', ',', 'short', ',', 'long', ',', 'unsigned', ',', 'sign']"
"['syntax', 'error']","['mistake', 'error', 'occur', 'create', 'develop', 'program', ',', 'misspell', 'command', ',', 'incorrect', 'number', 'parameter', 'call', 'method', 'function', ',', 'datum', 'type', 'mismatch', '.']","['syntax', 'error', 'programming', 'refer', 'mistake', 'violation', 'language', 'grammar', 'rule', '.', 'occur', 'code', 'follow', 'correct', 'syntax', 'specify', 'programming', 'language', '.', 'error', 'detect', 'compiler', 'compilation', 'process', 'prevent', 'code', 'execute', '.']","['syntax', 'error', 'mistake', 'source', 'code', ',', 'spell', 'punctuation', 'error', ',', 'incorrect', 'label', ',', ',', 'cause', 'error', 'message', 'generate', 'compiler', '.']"
"['reserve', 'word', 'program', 'language']","['word', 'standard', 'c', 'language', 'library', ',', 'word', 'special', 'meaning', 'possible', 'use', 'activity', 'intend', 'functionality', ',', 'example', 'reserve', 'word', 'c', 'language', ':', 'void', ',', 'return', 'int', '.']","['computer', 'language', ',', 'reserve', 'word', 'word', 'identifier', ',', 'variable', ',', 'function', ',', 'label', '.', 'syntactic', 'definition', ',', 'reserve', 'word', 'user', '-', 'define', 'meaning', '.']","['reserve', 'word', ',', 'known', 'keyword', ',', 'word', 'special', 'meaning', 'programming', 'language', 'reserve', 'specific', 'purpose', '.', 'word', 'identifier', 'predefine', 'predefine', 'meaning', 'language', '.']"
"['dangle', 'pointer', 'c']","['pointer', 'point', 'memory', 'adress', 'variable', 'deallocate', '.']","['dangle', 'mean', 'hang', 'freely', '.', 'suggest', ',', 'dangle', 'pointer', 'pointer', 'point', 'free', '/', 'delete', 'location', 'program', 'memory', '.']","['dangle', 'pointer', 'c', 'pointer', 'point', 'memory', 'location', 'deallocate', 'free', '.', 'occur', 'pointer', 'variable', 'hold', 'address', 'memory', 'block', 'deallocate', 'release', ',', 'lead', 'unpredictable', 'potentially', 'erroneous', 'behavior', '.']"
"['wild', 'pointer', 'c']","['unintialized', 'pointer', 'call', 'wild', 'pointer', ',', 'point', 'arbitrary', 'memory', 'location', 'cause', 'program', 'crash', 'behave', 'unexpectedly', '.']","['wild', 'pointer', 'pointer', 'initialize', 'assign', 'valid', 'memory', 'address', '.', 'pointer', 'point', 'unknown', 'invalid', 'memory', 'location', '.']","['c', ',', 'wild', 'pointer', 'refer', 'pointer', 'initialize', 'assign', 'valid', 'memory', 'address', '.', 'contain', 'random', 'garbage', 'value', ',', 'mean', 'point', 'specific', 'memory', 'location', 'object', '.', 'wild', 'pointer', 'lead', 'unpredictable', 'behavior', 'cause', 'error', ',', 'crash', ',', 'datum', 'corruption', '.']"
"['difference', '+', '+', 'a++']","['+', '+', ""'"", 'call', 'prefix', 'increment', 'increment', 'happen', 'variable', '.', ""'"", 'a++', ""'"", 'prefix', 'increment', 'increment', 'happen', 'value', 'variable', 'operation', '.']","['+', '+', ""'"", 'return', 'value', 'incremente', '.', 'pre', '-', 'increment', 'operator', ""'"", '+', '+', ""'"", 'come', 'operand', '.', ""'"", 'a++', ""'"", 'return', 'value', 'incrementing', '.', 'post', '-', 'increment', 'operator', ""'"", '+', '+', ""'"", 'come', 'operand', '.']","['+', '+', ""'"", 'call', 'pre', '-', 'increment', 'increment', 'value', 'expression', '.', ',', 'incremente', 'value', 'immediately', 'available', 'use', '.', 'hand', ',', ""'"", 'a++', ""'"", 'call', 'post', '-', 'increment', 'use', 'original', 'value', 'expression', 'increment', '.', 'increment', 'take', 'place', 'value', 'expression', '.']"
"['difference', '=', '=', '=', 'c', 'programming']","['=', '=', ""'"", 'comparison', 'operator', 'compare', 'value', 'expression', 'leave', '-', 'hand', 'value', 'expression', 'right', '-', 'hand', '.', ""'"", '=', ""'"", 'assignment', 'operator', 'assign', 'value', 'right', '-', 'hand', 'variable', 'left', '-', 'hand', '.']","['""', '=', 'operator', 'assign', 'value', 'variable', '=', '=', 'operator', 'compare', 'variable', 'constant', '.']","['c', 'programming', ',', '=', 'operator', 'assignment', ',', '=', '=', 'operator', 'comparison', '.']"
"['header', 'file', 'c']","['header', 'file', 'refer', 'file', 'contain', 'definition', 'prototype', 'function', 'program', ',', 'know', 'library', 'file', '.', 'example', 'header', 'file', 'studio.h', 'library', 'file', '.']","['c', 'header', 'file', 'text', 'file', 'contain', 'piece', 'code', 'write', 'c', 'programming', 'language', '.', 'header', 'file', ',', 'convention', ',', 'end', '.', 'h', 'extension', '.', 'insert', 'inside', 'program', 'code', '#', 'include', 'preprocessor', 'directive', '.']","['header', 'file', 'file', 'contain', 'declaration', 'function', ',', 'variable', ',', 'type', 'multiple', 'source', 'code', 'file', '.', 'provide', 'way', 'include', 'common', 'definition', 'declaration', 'multiple', 'file', 'having', 'rewrite', 'time', '.']"
"['loop', 'type', 'loop', 'c']","['loop', 'refer', 'statement', 'allow', 'execution', 'statement', 'group', 'statement', 'repeat', 'way', '.', '4', 'type', 'loop', 'c', ',', ':', 'loop', ',', 'loop', ',', 'loop', 'nest', 'loop', '.']","['loop', 'control', 'structure', 'allow', 'repeat', 'execution', 'block', 'code', '.', 'help', 'automate', 'repetitive', 'task', 'perform', 'operation', 'set', 'datum', '.', 'c', 'programming', ',', 'type', 'loop', ':', 'loop', 'allow', 'specify', 'initialization', ',', 'condition', ',', 'increment', 'decrement', 'compact', 'manner', '.', 'loop', 'repeatedly', 'execute', 'block', 'code', 'long', 'condition', 'true', ',', 'loop', 'continue', 'execute', 'block', 'code', 'long', 'give', 'condition', 'true', '.', 'check', 'condition', 'iteration', '.', '-', 'loop', ':', '-', 'loop', 'similar', 'loop', ',', 'condition', 'check', 'loop', 'body', 'execute', '.', 'guarantee', 'loop', 'body', 'execute', '.']","['loops', 'c', 'programming', 'language', 'conditional', 'concept', 'execute', 'line', 'block', 'code', 'consecutively', '.', 'c', 'programming', ',', 'loop', ':', 'loop', ',', 'loop', ',', 'loop', '.']"
"['nest', 'loop']","['loop', 'run', 'inside', 'loop', ',', 'loop', 'call', 'outer', 'loop', 'inside', 'loop', 'call', 'inner', 'loop', '.']","['loop', 'exist', 'inside', 'body', 'loop', ',', 'call', 'nest', 'loop', '.']","['nest', 'loop', 'loop', 'place', 'inside', 'loop', '.', 'allow', 'repeatedly', 'execute', 'block', 'code', 'outer', 'loop', 'inner', 'loop', 'iterate', 'set', 'iteration', '.', 'word', ',', 'inner', 'loop', 'completely', 'contain', 'body', 'outer', 'loop', '.']"
"['pointer', 'pointer', 'c']","['pointer', 'variable', 'contain', 'adress', 'pointer', 'variable', ',', 'concept', 'de', '-', 'refer', 'twice', 'datum', 'hold', 'pointer', 'variable', '.']","['pointer', 'pointer', 'form', 'multiple', 'indirection', ',', 'chain', 'pointer', '.', 'normally', ',', 'pointer', 'contain', 'address', 'variable', '.', 'define', 'pointer', 'pointer', ',', 'pointer', 'contain', 'address', 'second', 'pointer', ',', 'point', 'location', 'contain', 'actual', 'value']","['pointer', 'pointer', ',', 'know', 'double', 'pointer', ',', 'concept', 'c', 'pointer', 'variable', 'hold', 'address', 'pointer', 'variable', '.', 'word', ',', 'pointer', 'variable', 'store', 'memory', 'address', 'pointer', 'variable', '.']"
"['generate', 'random', 'number', 'c']","['recommend', 'use', 'rand', '(', ')', ',', 'function', 'return', 'integer', 'number', 'begin', '0', '.']","['random', 'number', 'generator', 'c', ',', 'use', 'rand', '(', ')', 'srand', '(', ')', 'function', 'generate', 'different', 'random', 'number', 'execution', '.']","['generate', 'random', 'number', 'c', ',', 'use', 'rand', '(', ')', 'function', '<', 'stdlib.h', '>', 'library', '.', 'rand', '(', ')', 'function', 'generate', 'pseudo', '-', 'random', 'number', '0', 'rand_max', ',', 'constant', 'define', '<', 'stdlib.h', '>', '.', ',', 'generate', 'number', 'deterministic', 'repeat', 'seed', '.']"
"['newline', 'escape', 'sequence']","['newline', 'escape', 'sequence', 'represent', ""'"", '\\n', ""'"", '.', 'indicate', 'point', 'new', 'line', 'start', 'compiler', 'output', 'create', 'accordingly']","['newline', 'escape', 'sequence', 'c', 'represent', '\\n', '.', 'insert', 'newline', 'character', 'string', 'character', 'constant', '.', 'newline', 'character', 'encounter', 'string', ',', 'cause', 'cursor', 'begin', 'line', '.']","['escape', 'sequence', 'c', 'character', 'sequence', 'character', 'inside', 'string', 'literal', '.', 'purpose', 'escape', 'sequence', 'represent', 'character', 'normally', 'keyboard', '.', 'escape', 'sequence', 'character', 'ascii', 'charset', '.', 'common', 'escape', 'sequence', '\\n', ',', 'move', 'cursor', 'start', 'line', '.']"
"['scope', 'variable', 'c']","['scope', 'variable', 'define', 'code', 'area', 'variable', 'declare', 'program', 'access', 'directly', '.', 'c', ',', 'identifier', 'lexically', '(', 'statically', ')', 'scope', '.']","['local', 'global', 'scope', 'c', 'variable', '.', 'local', 'scope', 'limited', 'code', 'function', 'variable', 'declare', '.', 'global', 'scope', 'entire', 'program', '.', 'global', 'variable', 'program', '.']","['variable', 'declare', 'outside', 'function', ',', 'begin', 'program', ',', 'global', 'scope', ',', 'variable', 'declare', 'inside', 'function', 'block', 'local', 'scope', '.', 'accessible', 'function', 'block', 'declare', '.', 'parameter', 'function', 'scope', 'function', '.', 'act', 'local', 'variable', 'function', 'access', 'function', 'body', '.', 'variable', 'declare', 'block', ',', 'set', 'statement', 'enclose', 'curly', 'brace', ""'"", '{', '}', ""'"", 'scope', 'limited', 'block', '.', 'variable', 'accessible', 'block', 'declare', '.']"
"['difference', 'calloc', '(', ')', 'malloc', '(', ')']","['dynamic', 'memory', 'allocate', 'function', ',', 'difference', 'calloc', '(', ')', 'load', 'assign', 'memory', 'location', 'value', '0', 'malloc', '(', ')', '.']","['main', 'difference', 'calloc', '(', ')', 'malloc', '(', ')', 'lie', 'initialization', 'allocate', 'memory', 'number', 'element', 'specify', 'allocation', '.', 'calloc', '(', ')', 'initialize', 'memory', 'zero', ',', 'malloc', '(', ')', '.', 'additionally', ',', 'calloc', '(', ')', 'require', 'number', 'element', 'size', ',', 'malloc', '(', ')', 'require', 'size', 'byte', '.']","['malloc', '(', ')', 'allocate', 'memory', 'block', 'give', 'size', 'return', 'pointer', 'beginning', 'block', '.', 'malloc', '(', ')', 'initialize', 'allocate', 'memory', '.', 'calloc', '(', ')', 'allocate', 'memory', 'initialize', 'byte', 'allocate', 'memory', '0', '.', 'malloc', '(', ')', 'take', 'single', 'argument', ',', 'number', 'byte', 'allocate', '.', 'unlike', 'malloc', '(', ')', ',', 'calloc', '(', ')', 'take', 'argument', ':', 'number', 'block', 'allocate', 'size', 'block', 'byte', '.']"
"['c', 'token']","['c', 'tokens', 'keyword', ',', 'constant', ',', 'special', 'symbol', ',', 'string', ',', 'operator', ',', 'identifier', 'c', 'language', '.']","['token', 'small', 'unit', 'c', 'program', '.', 'punctuation', 'word', 'come', 'c', 'program', 'token', '.', 'compiler', 'breaks', 'c', 'program', 'tokens', 'proceed', 'ahead', 'stage', 'compilation', 'process', '.']","['token', 'small', 'individual', 'unit', 'program', 'mean', 'compiler', '.', 'sequence', 'character', 'represent', 'specific', 'element', 'entity', 'program', '.', 'tokens', 'classified', 'category', ':', 'keyword', ',', 'identifier', ',', 'constant', ',', 'operator', ',', 'special', 'symbol', ',', 'comment']"
"['c', 'call', 'mother', 'language']","['c', 'introduce', 'core', 'concept', 'datum', 'structure', 'like', 'array', ',', 'list', ',', 'function', 'string', '.', 'language', 'design', 'c', 'design', 'basis', 'c', 'language', ',', 'call', 'mother', 'language']","['c', 'language', 'consider', 'mother', 'language', 'modern', 'programming', 'language', 'compiler', ',', 'jvms', ',', 'kernel', ',', 'etc', '.', 'write', 'c', 'language', ',', 'programming', 'language', 'follow', 'c', 'syntax']","['significant', 'influence', 'development', 'programming', 'language', 'come', '.', 'reason', 'c', 'hold', 'distinction', ':', 'portability', ',', 'language', 'design', ',', 'standardization', ',', 'extensibility', ',', 'legacy', 'popularity']"
"['feature', 'c', 'programming', 'language']","['memory', 'management', ',', 'high', 'level', 'language', ',', 'structured', 'language', ',', 'rich', 'library', ',', 'extensible', ',', 'recursion', ',', 'pointer', ',', 'fast', 'language', '.']","['simple', 'efficient', ',', 'fast', ',', 'portability', ',', 'extensibility', ',', 'function', '-', 'rich', 'library', ',', 'dynamic', 'memory', 'management', ',', 'modularity', 'structured', 'language', ',', 'mid', '-', 'level', 'programming', 'language', ',', 'pointer', ',', 'recursion']","['c', 'programming', 'language', 'key', 'feature', 'popular', 'widely', '.', 'notable', 'feature', ':', 'simplicity', ',', 'portability', ',', 'efficiency', ',', 'modularity', ',', 'extensibility', ',', 'wide', 'range', 'application', ',', 'standardization', ',', 'large', 'community', 'ecosystem', ',', 'interoperability']"
['array'],"['array', 'simple', 'datum', 'structure', 'store', 'multiple', 'element', 'datatype', 'reserve', 'sequential', 'manner', '.', 'type', 'array', ',', ',', 'dimensional', 'array', ',', 'dimensional', 'array', 'multi', 'dimensional', 'array']","['array', 'c', 'datum', 'structure', 'allow', 'store', 'multiple', 'value', 'datum', 'type', 'single', '.', 'provide', 'way', 'organize', 'access', 'collection', 'element', 'contiguous', 'block', 'memory', '.']","['array', 'collection', 'item', 'datum', 'type', 'store', 'contiguous', 'memory', 'location', '.']"
"['/0', 'character', '?']","['null', 'character', '.', 'consider', 'terminate', 'character', 'string', 'notify', 'end', 'string', 'compiler', '.']","['null', 'character', ""'"", '\\0', ""'"", '(', 'null', 'terminator', ')', ',', 'abbreviate', 'nul', ',', 'control', 'character', 'value', 'zero', '.', 'c', 'objective', 'c.', 'character', 'significance', 'c', 'serve', 'reserved', 'character', 'signify', 'end', 'string', ',', 'call', 'null', '-', 'terminate', 'string', '.']","['know', 'null', 'character', 'null', 'terminator', '.', 'special', 'character', 'mark', 'end', 'null', '-', 'terminate', 'string', '.']"
"['difference', 'compiler', 'interpreter']","['compiler', 'translate', 'entire', 'complete', 'code', ',', 'interpreter', 'translate', 'complete', 'code', 'statement', 'time', '.']","['compiler', 'translate', 'entire', 'source', 'code', 'single', 'run', ',', 'consume', 'time', 'i.e.', ',', 'fast', 'interpreter', '.', '  ', 'interpreter', 'translate', 'entire', 'source', 'code', 'line', 'line', 'consume', 'time', 'compiler', 'i.e.', ',', 'slow', 'compiler', '.', 'compiler', 'check', 'syntactic', 'semantic', 'error', 'simultaneously', 'interpreter', 'check', 'syntactic', 'error', '.']","['compiler', 'program', 'translate', 'entire', 'source', 'code', 'program', 'executable', 'form', ',', 'form', 'machine', 'code', '.', 'interpreter', 'program', 'directly', 'execute', 'source', 'code', 'line', 'line', 'translate', 'entire', 'code', 'machine', 'code', '.', 'perform', 'translation', 'execution', 'process', 'simultaneously', '.']"
"['difference', 'variable', 'constant']","['variable', 'identifier', 'comprise', 'character', ',', 'include', 'letter', ',', 'number', 'certain', 'symbol', '.', 'alter', 'entire', 'program', '.', 'like', 'variable', ',', 'constant', 'identifi', 'character', ',', 'include', 'letter', ',', 'number', 'certain', 'symbol', ',', 'not', 'change', 'value', 'define', '.']","['constant', 'name', 'data', 'item', 'predefine', 'value', ',', 'variable', 'name', 'datum', 'item', 'value', 'change', 'course', 'program', 'execution', '.', 'variables', 'global', 'local', '.']","['variable', 'storage', 'location', 'hold', 'different', 'value', 'modify', 'program', 'execution', ',', 'constant', 'represent', 'fix', 'value', 'remain', 'unchanged', 'program', 'modify', '.', 'variable', 'datum', 'change', ',', 'constant', 'value', 'remain', 'constant', '.']"
"['difference', 'logical', ',', 'run', '-', 'time', 'syntax', 'error']","['logical', 'error', 'pass', 'compilation', 'process', 'produce', 'unexpected', 'output', ',', 'programmer', 'incorrect', 'formula', 'wrong', 'sequence', 'command', '.', 'run', '-', 'time', 'error', 'occur', 'execute', 'program', ',', 'cause', 'execution', 'pause', 'line', 'cause', 'error', '.', 'syntax', 'error', 'occur', '  ', 'programmer', 'make', 'mistake', 'code', ',', 'misplace', 'symbol', ',', 'forget', 'use', 'symbol', ',', 'misspell', 'command', 'wrong', 'case', 'command', '.']","['syntax', 'error', 'occur', 'compilation', 'involve', 'violation', 'programming', 'language', 'syntax', 'rule', ',', 'logical', 'error', 'occur', 'program', 'logic', 'incorrect', 'lead', 'incorrect', 'output', ',', 'run', '-', 'time', 'error', 'occur', 'program', 'execution', 'illegal', 'unexpected', 'operation', 'encounter', '.']","['syntax', 'compiler', 'error', 'prevent', 'code', 'start', 'run', '.', 'run', '-', 'time', 'error', 'occur', 'program', 'run', ',', 'logical', 'error', 'problem', 'find', 'program', 'run', 'completion', 'error', ',', 'produce', 'wrong', 'output', '.']"
"['keyword', 'void', 'function']","['keyword', 'void', 'function', 'function', 'return', 'value', '.']","['function', 'need', 'return', 'value', ',', 'return', 'type', 'specify', 'void']","['use', 'want', 'specify', 'function', 'return', 'value']"
"['sort', 'c']","['use', 'build', 'qsort', '(', ')', 'function', 'use', 'follow', ':', 'bubble', 'sort', ',', 'selection', 'sort', ',', 'merge', 'sort', ',', 'heap', 'sort', '.', 'insertion', 'sort', ',', 'etc', '.']","['sort', 'algorithm', 'use', 'sort', 'element', 'array', ',', 'example', 'bubble', 'sort', ',', 'selection', 'sort', ',', 'merge', 'sort', ',', 'radix', 'sort', ',', 'insertion', 'sort', ',', 'etc', '.']","['sort', 'c', 'switch', 'value', 'array', 'specific', 'order', ',', 'ascend', 'descend', 'case', '.', 'start', 'sort', 'use', 'available', 'sorting', 'algorithm', 'c', 'bubble', 'sort', ',', 'selection', 'sort', ',', 'insertion', 'sort', ',', 'etc', '.']"
